original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
64:o(8).	64mo	NA	NA	FALSE	64mo	  5.0	  7.0	 0	   35.00	    31
1/2:o	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	    30
18:o.	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	    30
8:o(2).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    29
19x12 cm	NA	 12.0	 19.0	FALSE	NA	 12.0	 19.0	NA	  228.00	    29
8:o(tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    28
37 cm	NA	NA	 37.0	FALSE	NA	 25.0	 37.0	NA	  925.00	    27
40 cm	NA	NA	 40.0	FALSE	NA	 26.0	 40.0	NA	 1040.00	    25
39 cm	NA	NA	 39.0	FALSE	NA	 26.0	 39.0	NA	 1014.00	    23
12:o (avl.)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    22
13 cm	NA	NA	 13.0	FALSE	NA	 10.0	 13.0	NA	  130.00	    22
6:o	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	    21
38 cm	NA	NA	 38.0	FALSE	NA	 35.0	 38.0	NA	 1330.00	    21
36 cm	NA	NA	 36.0	FALSE	NA	 24.0	 36.0	NA	  864.00	    20
57 cm	NA	NA	 57.0	FALSE	NA	 35.0	 57.0	NA	 1995.00	    20
19x13 cm	NA	 13.0	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	    20
18x12 cm	NA	 12.0	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	    18
4:o(tv.).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    17
23 cm.	NA	NA	 23.0	FALSE	NA	 18.0	 23.0	NA	  414.00	    17
12:o(avl.)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    16
21 cm.	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	    14
45 cm	NA	NA	 45.0	FALSE	NA	 29.0	 45.0	NA	 1305.00	    13
42 cm	NA	NA	 42.0	FALSE	NA	 27.0	 42.0	NA	 1134.00	    12
8:o +	8long	NA	NA	FALSE	8long	 13.0	 22.0	 0	  286.00	    12
60 cm	NA	NA	 60.0	FALSE	NA	 36.0	 60.0	NA	 2160.00	    12
41 cm	NA	NA	 41.0	FALSE	NA	 27.0	 41.0	NA	 1107.00	    12
Hög 12:o	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    11
12:o(8/4).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    11
24 cm.	NA	NA	 24.0	FALSE	NA	 19.0	 24.0	NA	  456.00	    11
18x11 cm	NA	 11.0	 18.0	FALSE	NA	 11.0	 18.0	NA	  198.00	    11
8:o(tv.) [40] s., s.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    10
32:o(8).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	    10
17x12 cm	NA	 12.0	 17.0	FALSE	NA	 12.0	 17.0	NA	  204.00	    10
48 cm	NA	NA	 48.0	FALSE	NA	 31.0	 48.0	NA	 1488.00	     9
fol	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     9
1:o(tv.).	1to	NA	NA	FALSE	2fo	 60.0	 90.0	 0	 5400.00	     9
1:o.	1to	NA	NA	FALSE	2fo	 60.0	 90.0	 0	 5400.00	     9
4:o(2)	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     9
Fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     9
ill.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     9
50 cm	NA	NA	 50.0	FALSE	NA	 32.0	 50.0	NA	 1600.00	     8
4:o(8).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     8
12:o(8/4)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     8
4:o(4 o.2).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     8
43 cm	NA	NA	 43.0	FALSE	NA	 28.0	 43.0	NA	 1204.00	     8
20x14 cm	NA	 14.0	 20.0	FALSE	NA	 14.0	 20.0	NA	  280.00	     8
18x13 cm	NA	 13.0	 18.0	FALSE	NA	 13.0	 18.0	NA	  234.00	     8
21 x 28 cm	NA	 21.0	 28.0	FALSE	NA	 21.0	 28.0	NA	  588.00	     8
11 cm	NA	NA	 11.0	FALSE	NA	  8.0	 11.0	NA	   88.00	     8
24 cm +	NA	NA	 24.0	FALSE	NA	 19.0	 24.0	NA	  456.00	     8
53 cm	NA	NA	 53.0	FALSE	NA	 33.0	 53.0	NA	 1749.00	     7
st. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     7
32:o.	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     7
24:o(12)	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     7
8:o(8 o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     7
49 cm	NA	NA	 49.0	FALSE	NA	 31.0	 49.0	NA	 1519.00	     7
19 cm.	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     7
16 x 24 cm	NA	 16.0	 24.0	FALSE	NA	 16.0	 24.0	NA	  384.00	     7
8:0	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     6
63 cm	NA	NA	 63.0	FALSE	NA	 38.0	 63.0	NA	 2394.00	     6
51 cm	NA	NA	 51.0	FALSE	NA	 32.0	 51.0	NA	 1632.00	     6
Tv.-4:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
8.o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
17x11 cm	NA	 11.0	 17.0	FALSE	NA	 11.0	 17.0	NA	  187.00	     6
4:o (ins.: 1:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
12:o(4/2).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     6
8:o(4 tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     6
44 cm	NA	NA	 44.0	FALSE	NA	 29.0	 44.0	NA	 1276.00	     6
47 cm	NA	NA	 47.0	FALSE	NA	 30.0	 47.0	NA	 1410.00	     6
18 cm.	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	     6
56 cm	NA	NA	 56.0	FALSE	NA	 35.0	 56.0	NA	 1960.00	     5
58 cm	NA	NA	 58.0	FALSE	NA	 36.0	 58.0	NA	 2088.00	     5
54 cm	NA	NA	 54.0	FALSE	NA	 34.0	 54.0	NA	 1836.00	     5
55 cm	NA	NA	 55.0	FALSE	NA	 34.0	 55.0	NA	 1870.00	     5
Tv.-8:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
23cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
2:o(tv.)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     5
16:o(8 avl.).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     5
18:o(12/6 avl.).	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     5
4:o(8)	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     5
8:o(8 o. 4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     5
16:o(8)	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     5
6:o.	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	     5
4:o. (ins.: 1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
8:o(tv.)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     5
20x15 cm	NA	 15.0	 20.0	FALSE	NA	 15.0	 20.0	NA	  300.00	     5
22 cm (8:o)	8vo	NA	 22.0	FALSE	8vo	 15.0	 22.0	 0	  330.00	     5
24 cm (8:o)	8vo	NA	 24.0	FALSE	8vo	 15.0	 24.0	 0	  360.00	     5
12 cm	NA	NA	 12.0	FALSE	NA	  9.0	 12.0	NA	  108.00	     5
tv. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
4.o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     4
15x12 cm	NA	 12.0	 15.0	FALSE	NA	 12.0	 15.0	NA	  180.00	     4
4:0	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     4
24:o	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     4
fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     4
20x13 cm	NA	 13.0	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	     4
st. 4:o	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     4
48:o(8).	48mo	NA	NA	FALSE	48mo	  6.5	 10.0	 0	   65.00	     4
16:o(2).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     4
8:o (8 o. 4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
8:o(8 o.4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
12:o(avl.) [04] , ii156 s.; träsnittstitelbl., [1] pl.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
12:o(tv.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
8:o(avl.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
23 cm (8:o)	8vo	NA	 23.0	FALSE	8vo	 15.0	 23.0	 0	  345.00	     4
21x14 cm	NA	 14.0	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     4
10 cm	NA	NA	 10.0	FALSE	NA	  7.0	 10.0	NA	   70.00	     4
19 cm +	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     4
46 cm	NA	NA	 46.0	FALSE	NA	 30.0	 46.0	NA	 1380.00	     4
61 cm	NA	NA	 61.0	FALSE	NA	 37.0	 61.0	NA	 2257.00	     3
22-26 cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     3
Tvärfol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     3
67 cm	NA	NA	 67.0	FALSE	NA	 40.0	 67.0	NA	 2680.00	     3
18:o	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     3
14x11 cm	NA	 11.0	 14.0	FALSE	NA	 11.0	 14.0	NA	  154.00	     3
15x10 cm	NA	 10.0	 15.0	FALSE	NA	 10.0	 15.0	NA	  150.00	     3
Avl. 4:o.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     3
8:o. obl.	8vo	NA	NA	 TRUE	8vo	 19.0	 13.0	 1	  247.00	     3
hög 12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     3
64:o.	64mo	NA	NA	FALSE	64mo	  5.0	  7.0	 0	   35.00	     3
2	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
2:o(6)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
8 obl.	NA	NA	NA	 TRUE	NA	NA	NA	NA	NA	     3
22 cm.	NA	NA	 22.0	FALSE	NA	 15.0	 22.0	NA	  330.00	     3
19x13 cm.	NA	 13.0	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     3
20 cm (8:o)	8vo	NA	 20.0	FALSE	8vo	 13.0	 20.0	 0	  260.00	     3
18 cm (8:o)	8vo	NA	 18.0	FALSE	8vo	 12.0	 18.0	 0	  216.00	     3
13x10,5 cm	NA	 10.5	 13.0	FALSE	NA	 10.5	 13.0	NA	  136.50	     3
12:o.(avl.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     3
16:o(4).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     3
18:o(12/6)	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     3
8:o(avl.)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     3
8:o(4, tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     3
24:o(8/4).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
8:o(8 o. 4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     3
24:o(6).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
24:o(12, avl.).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
24:o(8, avl.).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
2:o(tv.) [02] s.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
32:o(16).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     3
2:o(6).	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
4:o(avl.).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     3
17 cm (8:o)	8vo	NA	 17.0	FALSE	8vo	 12.0	 17.0	 0	  204.00	     3
23x16 cm	NA	 16.0	 23.0	FALSE	NA	 16.0	 23.0	NA	  368.00	     3
21x15 cm	NA	 15.0	 21.0	FALSE	NA	 15.0	 21.0	NA	  315.00	     3
16x11 cm	NA	 11.0	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	     3
20 cm.	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	     3
25 cm.	NA	NA	 25.0	FALSE	NA	 19.0	 25.0	NA	  475.00	     3
15 x 21 cm	NA	 15.0	 21.0	FALSE	NA	 15.0	 21.0	NA	  315.00	     3
21 cm +	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     3
31 cm.	NA	NA	 31.0	FALSE	NA	 21.0	 31.0	NA	  651.00	     3
30 cm.	NA	NA	 30.0	FALSE	NA	 20.0	 30.0	NA	  600.00	     3
28x22 cm	NA	 22.0	 28.0	FALSE	NA	 22.0	 28.0	NA	  616.00	     2
18x11,5 cm	NA	 11.5	 18.0	FALSE	NA	 11.5	 18.0	NA	  207.00	     2
8vo.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
4:o (1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
4:o (bil.: 2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
4:o (bil. 1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
66 cm	NA	NA	 66.0	FALSE	NA	 40.0	 66.0	NA	 2640.00	     2
25x17 cm	NA	 17.0	 25.0	FALSE	NA	 17.0	 25.0	NA	  425.00	     2
2:o (4)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     2
59 cm	NA	NA	 59.0	FALSE	NA	 36.0	 59.0	NA	 2124.00	     2
4 :o	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     2
26 cm.	NA	NA	 26.0	FALSE	NA	 20.0	 26.0	NA	  520.00	     2
21x13 cm	NA	 13.0	 21.0	FALSE	NA	 13.0	 21.0	NA	  273.00	     2
16x12 cm	NA	 12.0	 16.0	FALSE	NA	 12.0	 16.0	NA	  192.00	     2
30 cm +	NA	NA	 30.0	FALSE	NA	 20.0	 30.0	NA	  600.00	     2
1/2:o(tv.)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     2
34,5 cm	NA	NA	 34.5	FALSE	NA	 22.5	 34.5	NA	  776.25	     2
32:o	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     2
28 cm.	NA	NA	 28.0	FALSE	NA	 20.0	 28.0	NA	  560.00	     2
52 cm	NA	NA	 52.0	FALSE	NA	 33.0	 52.0	NA	 1716.00	     2
65 cm	NA	NA	 65.0	FALSE	NA	 39.0	 65.0	NA	 2535.00	     2
8:o [8:o]	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
16x10 cm	NA	 10.0	 16.0	FALSE	NA	 10.0	 16.0	NA	  160.00	     2
25cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
32 cm.	NA	NA	 32.0	FALSE	NA	 21.0	 32.0	NA	  672.00	     2
25x18 cm	NA	 18.0	 25.0	FALSE	NA	 18.0	 25.0	NA	  450.00	     2
14x10 cm	NA	 10.0	 14.0	FALSE	NA	 10.0	 14.0	NA	  140.00	     2
27x20 cm	NA	 20.0	 27.0	FALSE	NA	 20.0	 27.0	NA	  540.00	     2
15 x 24 cm	NA	 15.0	 24.0	FALSE	NA	 15.0	 24.0	NA	  360.00	     2
Pat.-fol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
27 cm.	NA	NA	 27.0	FALSE	NA	 20.0	 27.0	NA	  540.00	     2
2 vol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
15x11 cm	NA	 11.0	 15.0	FALSE	NA	 11.0	 15.0	NA	  165.00	     2
16 cm (8:o)	8vo	NA	 16.0	FALSE	8vo	 11.0	 16.0	 0	  176.00	     2
12:0	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
8:o (4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
4:o(1).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     2
1/2:o(tv.).	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     2
16:o(8, tv.).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     2
8:o(4,tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
8:o(2)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
18:o (12/6).	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     2
8:o (8 o.4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
6:o(tv.).	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	     2
8:o(4 avl.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
12:o(12 o.6).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
12:o(6, avl.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
24:o(12, avl.)	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     2
32:o(2).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     2
8:o(8, 4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
8:o(tv).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
8:o(4 o.2).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
48:o(4).	48mo	NA	NA	FALSE	48mo	  6.5	 10.0	 0	   65.00	     2
12:o(4).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
22x15 cm	NA	 15.0	 22.0	FALSE	NA	 15.0	 22.0	NA	  330.00	     2
21x16 cm	NA	 16.0	 21.0	FALSE	NA	 16.0	 21.0	NA	  336.00	     2
27 cm (4:o)	4to	NA	 27.0	FALSE	4to	 21.0	 27.0	 0	  567.00	     2
16 cm.	NA	NA	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	     2
21x14 cm.	NA	 14.0	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     2
22cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
14 x 21 cm	NA	 14.0	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     2
18 cm +	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	     2
22 x 29 cm	NA	 22.0	 29.0	FALSE	NA	 22.0	 29.0	NA	  638.00	     2
25-30 cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
17 x 26 cm	NA	 17.0	 26.0	FALSE	NA	 17.0	 26.0	NA	  442.00	     2
22 x 30 cm	NA	 22.0	 30.0	FALSE	NA	 22.0	 30.0	NA	  660.00	     2
12:o +	12long	NA	NA	FALSE	12long	 13.0	 20.0	 0	  260.00	     1
7x11 cm	NA	  7.0	 11.0	FALSE	NA	  7.0	 11.0	NA	   77.00	     1
39 x 49 cm	NA	 39.0	 49.0	FALSE	NA	 39.0	 49.0	NA	 1911.00	     1
34 cm +	NA	NA	 34.0	FALSE	NA	 22.0	 34.0	NA	  748.00	     1
4⁰.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     1
15 x 25 cm	NA	 15.0	 25.0	FALSE	NA	 15.0	 25.0	NA	  375.00	     1
8:o(tv)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     1
[16:o]	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     1
1:o (89x53 cm)	1to	 53.0	 89.0	FALSE	1to	 53.0	 89.0	 0	 4717.00	     1
27x21 cm	NA	 21.0	 27.0	FALSE	NA	 21.0	 27.0	NA	  567.00	     1
24x16,5 cm	NA	 16.5	 24.0	FALSE	NA	 16.5	 24.0	NA	  396.00	     1
22x28,5 cm	NA	 22.0	 28.5	FALSE	NA	 22.0	 28.5	NA	  627.00	     1
19 x 11 cm	NA	 11.0	 19.0	FALSE	NA	 11.0	 19.0	NA	  209.00	     1
27,5x20 cm	NA	 20.0	 27.5	FALSE	NA	 20.0	 27.5	NA	  550.00	     1
18x13	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
159 s.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
24 x16 cm	NA	 16.0	 24.0	FALSE	NA	 16.0	 24.0	NA	  384.00	     1
4:o(6)	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     1
26x20 cm	NA	 20.0	 26.0	FALSE	NA	 20.0	 26.0	NA	  520.00	     1
10,5x13 cm	NA	 10.5	 13.0	FALSE	NA	 10.5	 13.0	NA	  136.50	     1
37 x 23 cm	NA	 23.0	 37.0	FALSE	NA	 23.0	 37.0	NA	  851.00	     1
64:o	64mo	NA	NA	FALSE	64mo	  5.0	  7.0	 0	   35.00	     1
16x10,5 cm	NA	 10.5	 16.0	FALSE	NA	 10.5	 16.0	NA	  168.00	     1
268, 223, 256 s.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
stor 4:o	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     1
